country,cases,date
Malaysia,23,6/22/09
Malaysia,68,6/24/09
Malaysia,68,6/26/09
Malaysia,112,6/29/09
Malaysia,112,7/1/09
Malaysia,112,7/3/09
Malaysia,112,7/6/09
Indonesia,0,5/23/09
Indonesia,0,5/25/09
Indonesia,0,5/26/09
Indonesia,0,5/27/09
Indonesia,0,5/29/09
Indonesia,0,6/1/09
Indonesia,0,6/3/09
Indonesia,0,6/5/09
Indonesia,0,6/8/09
Indonesia,0,6/10/09
Indonesia,0,6/11/09
Indonesia,0,6/12/09
Indonesia,0,6/15/09
Indonesia,0,6/17/09
Indonesia,0,6/19/09
Indonesia,0,6/22/09
Indonesia,0,6/24/09
Indonesia,2,6/26/09
Indonesia,8,6/29/09
Indonesia,8,7/1/09
Indonesia,8,7/3/09
Indonesia,20,7/6/09
